product_category_name_english,revenue,orders,items,avg_price,avg_review
health_beauty,1233131.72,8647,9465,130.28333016376124,4.1899595830674325
watches_gifts,1166176.98,5495,5859,199.04027649769586,4.071711092003439
bed_bath_table,1023434.76,9272,10953,93.43876198301835,3.9232757824762254
sports_leisure,954852.55,7530,8431,113.25495789348832,4.165433277631893
computers_accessories,888724.61,6530,7644,116.26433935112506,3.9867245005257623
furniture_decor,711927.6900000001,6307,8160,87.24604044117648,3.9512376237623763
housewares,615628.69,5743,6795,90.60024871228843,4.106423919478981
cool_stuff,610204.1,3559,3718,164.12159763313608,4.195445920303605
auto,578966.65,3810,4140,139.84701690821257,4.115150036594291
toys,471286.48,3804,4030,116.94453598014888,4.20830207551888
garden_tools,470495.27999999997,3448,4268,110.23788191190252,4.084198113207547
baby,400421.84,2809,2982,134.27962441314554,4.077728962487327
perfumery,390144.65,3086,3340,116.8097754491018,4.22018624211475
telephony,309860.23,4093,4430,69.94587584650112,3.9943233424159854
office_furniture,268154.31,1254,1668,160.7639748201439,3.512696493349456
stationery,223788.69,2264,2466,90.74967153284672,4.246430028559772
computers,218684.14,177,199,1098.9152763819095,4.219387755102041
pet_shop,211695.64,1688,1924,110.02891891891893,4.216710182767624
musical_instruments,184315.74,611,651,283.12709677419355,4.221705426356589
small_appliances,182754.12,609,658,277.74182370820665,4.223583460949464
unknown,170726.63,1392,1537,111.07783344176968,3.936393442622951
electronics,155043.93,2517,2729,56.81345914254305,4.067158671586716
fashion_bags_accessories,149329.39,1820,1985,75.22891183879094,4.192911392405064
consoles_games,148003.37,1018,1089,135.90759412304865,4.139017608897127
construction_tools_construction,142108.49,736,916,155.14027292576418,4.091108671789242
luggage_accessories,138701.63,1019,1077,128.78517177344474,4.352283317800559
home_appliances_2,107953.95,227,231,467.3331168831169,4.156521739130435
home_construction,81407.57,483,596,136.58988255033557,3.95777027027027
home_appliances,78832.48,747,754,104.55236074270556,4.226364846870839
agro_industry_and_commerce,70566.1,177,206,342.55388349514567,4.087378640776699
furniture_living_room,67350.7,414,495,136.0620202020202,3.9346938775510205
home_confort,58008.450000000004,392,429,135.21783216783217,3.8524590163934427
fixed_telephony,55315.21,212,255,216.92239215686274,3.757936507936508
air_conditioning,53323.56,246,289,184.5105882352941,4.052816901408451
audio,50570.6,348,362,139.69779005524862,3.8379888268156424
small_appliances_home_oven_and_coffee,46589.56,72,73,638.2131506849315,4.438356164383562
kitchen_dining_laundry_garden_furniture,45531.98,241,274,166.1751094890511,4.033088235294118
books_general_interest,45302.15,496,537,84.36154562383614,4.512195121951219
construction_tools_lights,39957.0,242,301,132.74750830564784,4.082191780821918
construction_tools_safety,38773.22,159,183,211.87551912568307,3.967032967032967
industry_commerce_and_business,38498.81,232,265,145.27852830188678,4.125954198473282
food,28731.15,441,499,57.57745490981964,4.262833675564682
market_place,27795.77,274,305,91.13367213114755,4.072607260726072
costruction_tools_garden,25096.28,190,232,108.17362068965517,4.116379310344827
art,23657.3,195,197,120.08781725888325,4.082051282051282
fashion_shoes,23001.46,235,257,89.49984435797666,4.280632411067193
drinks,21529.84,287,361,59.6394459833795,4.119113573407202
signaling_and_security,21315.05,138,197,108.1982233502538,4.091836734693878
furniture_bedroom,19051.8,90,103,184.96893203883494,4.252427184466019
books_technical,18702.23,256,263,71.11114068441064,4.3893129770992365
costruction_tools_tools,15903.95,97,103,154.40728155339806,4.444444444444445
food_drink,14942.88,221,269,55.54973977695167,4.364312267657993
fashion_male_clothing,10452.33,106,125,83.61864,3.7580645161290325
fashion_underwear_beach,9305.95,117,127,73.27519685039371,4.0476190476190474
christmas_supplies,8737.84,125,150,58.25226666666667,4.06993006993007
tablets_printing_image,7528.41,79,83,90.70373493975903,4.1234567901234565
cine_photo,6674.47,63,70,95.34957142857144,4.285714285714286
music,6034.35,38,38,158.79868421052632,4.2105263157894735
dvds_blu_ray,4542.59,56,61,74.46868852459016,4.180327868852459
party_supplies,4465.1900000000005,38,42,106.31404761904763,3.8333333333333335
books_imported,4418.86,50,57,77.5238596491228,4.508771929824562
furniture_mattress_and_upholstery,4323.38,37,37,116.84810810810811,3.891891891891892
kitchen_portables_and_food_preparers,3933.63,13,14,280.97357142857146,3.4285714285714284
fashio_female_clothing,2634.94,36,45,58.55422222222222,3.933333333333333
fashion_sport,2094.52,26,29,72.2248275862069,4.344827586206897
la_cuisine,2054.99,13,14,146.785,4.0
arts_and_craftmanship,1814.01,23,24,75.58375,4.125
diapers_and_hygiene,1500.79,25,37,40.56189189189189,3.3783783783783785
pc_gamer,1306.95,7,8,163.36875,3.625
flowers,1110.04,29,33,33.63757575757575,4.419354838709677
home_comfort_2,760.27,24,30,25.342333333333332,3.6296296296296298
cds_dvds_musicals,730.0,12,14,52.142857142857146,4.642857142857143
fashion_childrens_clothes,519.95,7,7,74.27857142857144,5.0
security_and_services,283.28999999999996,2,2,141.64499999999998,2.5
